entity_code,avg_longitude,avg_latitude
2491E,4.3783087473555442,52.069052749395361
2571V,4.2891231111551154,52.070427006374423
2582H,4.277123128301878,52.096602145139158
2573G,4.286990047163461,52.064168775563815
2541R,4.2809993222090332,52.043034198991741
2585S,4.29965745028815,52.090771438049529
2544B,4.2671670412046137,52.051516233431308
2292J,4.2987591309102759,52.015274080103779
2591D,4.3659838464519432,52.0955401845543
2561X,4.2792871219649573,52.078123824787255
2512W,4.3022484882306617,52.0747763111969
2562N,4.2850790102679861,52.072498079481228
2595D,4.3258425434053738,52.08179052778425
2274L,4.3533141628793857,52.075962350746927
2511X,4.3215708101764214,52.077288992684281
2564P,4.2594325068976042,52.064997918180595
2548W,4.3012425150286315,52.022154652229268
2291S,4.2719691922753134,52.023612180961614
2284C,4.3152501734501412,52.039179103208113
2582J,4.2743713923429887,52.09526708004131
2525N,4.3113855239072363,52.064241725628456
2548D,4.3013603143961641,52.018845685056121
2282M,4.3349491416331736,52.050061322499246
2585J,4.2930793642953189,52.097227554946443
2518V,4.2920714212456392,52.0813845216333
2562B,4.2754950793715878,52.08045098425449
2582B,4.2772839420368269,52.094075119859035
2565T,4.2595427136883677,52.075401878913084
2275C,4.3523290824240908,52.061953764460689
2595B,4.3338673498357227,52.080747632292393
2585B,4.29947159150363,52.088716684400225
2264T,4.3900267788637048,52.08796811092818
2274V,4.3513191563636706,52.072582818577068
2532V,4.2946583579696558,52.045156857504722
2566H,4.2704109967071178,52.086804438111407
2517H,4.2806609714322121,52.086098503971883
2282J,4.33916871084245,52.04887086298681
2524S,4.3108841865089875,52.053726132408229
2284G,4.3146682846954123,52.041959043069866
2561D,4.2718836350202221,52.076329104856292
2282H,4.3344107389042792,52.04826373960254
2285E,4.3064932859553844,52.036023473001705
2562L,4.2860141239077549,52.074359526718581
2543C,4.2564144860879827,52.0384393211622
2291V,4.2780030587244582,52.022341495520884
2597K,4.3069156124398633,52.105175360861494
2271E,4.373071826743204,52.072313713899653
2531T,4.3016989170971813,52.053651368244239
2551V,4.2468799660884677,52.058048430049624
2521T,4.3149288322849166,52.058961599814005
2285C,4.3061756464277723,52.0389610233467
2562K,4.2844699755113069,52.075640530411121
2282E,4.3375101059540677,52.052210273440608
2548X,4.3031720249001406,52.017602811130295
2286P,4.3081930210125536,52.029792270736429
2532S,4.2988732063621509,52.048705722026035
2272T,4.3724229865957263,52.09021585734817
2593W,4.3466983702368474,52.086603424414058
2525X,4.309161311811593,52.063588199726972
2512E,4.3059091102516733,52.073519802809777
2571D,4.2897042948819726,52.074732708855016
2525Z,4.299640520214016,52.060024670723649
2582V,4.274060865138237,52.089487570466794
2524R,4.3105689539161753,52.051841619876569
2565B,4.255852089602735,52.074708948540334
2286V,4.3144071460031945,52.026582396821219
2573X,4.2847879095818566,52.065825244741575
2573J,4.2835734511339947,52.0677395677379
2582S,4.2760052146565108,52.096111293014069
2522L,4.3221078031495184,52.05791981475916
2273W,4.3564076096263955,52.078717342003713
2543G,4.2563434890462792,52.035384536041754
2543S,4.26585712564811,52.040362202984944
2563G,4.27324522685426,52.070209282037723
2581R,4.2696960866752649,52.094009457923661
2572R,4.2975543867247135,52.064057328701594
2573R,4.2797888154847286,52.066856780734234
2284E,4.3143892273506239,52.0390220334264
2597N,4.3045817348585995,52.106543457558814
2515H,4.3126312896006471,52.069353264249536
2548P,4.2902925347154852,52.028281369079423
2271T,4.370969973910408,52.07488575679097
2531N,4.306880525271497,52.049313506904582
2564L,4.25890677151244,52.066697362755633
2281S,4.339367706620469,52.059199714524716
2285K,4.2958248373789667,52.03785195955615
2548J,4.2824952188157583,52.03144455119439
2565S,4.2579750396807361,52.075126134565124
2286S,4.3114197051917564,52.029989181277308
2562X,4.27877828695028,52.073628504337137
2546B,4.2739962337186022,52.059117864304504
2553L,4.23662802987268,52.047875635003926
2596R,4.3156387806874834,52.095831740640691
2546C,4.2734697606840761,52.05665957114018
2525B,4.2992635095398892,52.067404296022289
2573D,4.2889964489492058,52.061548026311655
2284X,4.3197824833329452,52.037439790374933
2271B,4.3692682360544906,52.071939388697686
