avg_longitude,avg_latitude
13.335515445057061,52.521523401438479
13.328892249749083,52.482462727323529
13.290468855755739,52.498123034971734
13.343887107940569,52.507859874913535
13.303064585007318,52.493907491623624
13.342736753911371,52.497461865864622
13.305682006162003,52.515202253311848
13.518399791274641,52.499244218702685
13.425550431673404,52.535158957743825
13.313733589648125,52.496569887900748
13.41644222988101,52.490183390882486
13.302994527212581,52.507987155604475
13.409805302989044,52.52130437127699
13.439408501248302,52.512275162547404
13.442963194373752,52.52381425655642
13.384677478716004,52.53213964029149
13.359543743020447,52.523368437714829
13.314709913305638,52.509477520365174
13.308550155911734,52.502777848843486
13.529012450668709,52.483440562028818
13.36238281790393,52.496412929250866
13.35431402659083,52.483828114690404
13.435482652484822,52.500962036889554
13.412159598263305,52.552156707003377
13.481923193016215,52.524415350037515
13.387365180586107,52.516894929308847
13.41256869427909,52.544848337949126
13.397444796218902,52.492635945772776
13.394407829561862,52.485460312369362
13.401123097632675,52.502497048714858
13.319509350236101,52.518468575110873
13.490855642516628,52.497777557135514
13.350960590451598,52.487331731534766
13.352889905772457,52.49356148349738
13.381192096712262,52.50017788766224
13.416408030505266,52.512109882956672
13.341282414400759,52.483801975914638
13.41113556912711,52.537770962013809
13.313279769512539,52.485080328033959
13.327533768791898,52.490812013593072
13.495795209692304,52.520840128100268
13.321490686314396,52.530533394054189
13.514989766424549,52.513905168062713
13.305741248924416,52.5275480662503
13.337084777818266,52.530764673766136
13.337735921342153,52.50170350963657
13.464781424510962,52.50062826118765
13.364250952131194,52.507335567079316
13.3394553481139,52.49212053910972
13.349900445977452,52.530096905262994
13.469377941499829,52.529438683174227
13.441456215272435,52.544284539339557
13.449059720943394,52.533712164070124
13.327329885542413,52.508823573554864
13.42654535849422,52.496929527911973
13.405327379900355,52.5304788648926
13.36081565453739,52.476314214001796
13.325703704940439,52.498860404770419
13.465498291244943,52.516070467307571
