avg_longitude,avg_latitude
8.9767561675640923,44.463100829323324
8.7416050005328589,39.459167890863583
9.8185522511096011,44.109778813271355
10.506141343130288,43.840396763484236
10.6641804391407,43.682214978145176
15.859394473871575,38.263148748119526
13.490885420432109,38.057123660429255
11.359862370533831,44.4296035926277
7.5508732916996006,44.3899042341945
10.170226905609518,44.043571149362258
10.603669764381088,43.775383557091651
10.502650080708941,43.837962631568509
10.455447046377934,43.964710434801084
10.86632620670823,43.847021033225168
10.34301224144011,43.57739661084922
10.300325203852209,42.805320179520187
12.61889473223666,41.761628263977769
12.332102739676413,41.788910785731332
15.55546244386187,38.180549139658552
13.619662443786488,37.253776966380812
14.450366986268364,36.8583841666054
14.612796466068923,36.911178524311282
8.3239700730763584,44.175232330859266
12.472049314763614,43.141209776537046
8.852722387039325,44.423614284302694
11.66269873587308,44.297252040326129
11.115199986325758,44.290973459444515
10.196784771584474,44.076647520793145
10.143801734990966,43.981466800765816
11.122386168688637,43.76851492544035
11.811285690401922,42.095868536172524
12.735949814050999,41.833560009030975
12.35999514456201,41.791656993889028
15.668532292174902,38.109901770979548
12.524932981146891,37.714389281814896
15.544673481160602,38.195876081504949
9.4941509290278816,40.913636933587235
7.823625204653232,44.33786833632719
9.9613080471713342,44.205435486689623
10.479166729992945,43.837712944103728
11.11157804735841,43.307033588498896
13.623067983365781,37.394085870571615
14.391688790411832,37.151826833846677
14.520114600220195,36.937477716967244
14.521805958816397,36.936126026339416
10.757895866004661,44.185259182060875
10.493741729935119,43.849294849505583
11.244420291376683,43.7902732293779
11.186488606031054,43.794161555885488
12.243838381537874,43.459631645212781
13.142192522725528,41.265380092423491
12.641058858842076,37.968595712398347
13.442232755634731,38.078525517462332
15.056822209986834,37.494835676834995
8.3164771605342374,40.577408271581028
8.96994138906832,39.180436581093844
9.490479844987652,39.520950978835408
9.9637698629507927,44.111893959814182
7.7978385310898322,44.537220237026091
11.510786662551553,42.586714489700135
12.649204928785624,41.685551350676022
7.8130241194554939,44.058993952011065
14.645285912583422,37.466087327885191
14.610245901435619,36.944476420181431
8.4441297794403756,40.728532138499531
8.63713937225937,39.723135674768905
9.50414604798584,40.021570935044942
9.65838884476228,39.930779430271954
8.9281177211407972,39.409435515228949
10.324769876923002,43.964406236783354
10.44810817071601,44.09383203009665
10.933659427301277,43.717663595761664
11.254928861395388,43.788448088874759
10.331845093944393,43.5428378446505
10.986124778898359,42.711108405581051
11.89730149645408,42.297467873632243
12.327858074816884,37.933357864293768
15.215802928211705,38.13931635038518
14.063378048281416,37.486580529000157
14.810515352792915,36.835635255673424
8.5713162686699338,44.367778229678109
9.4398826626228978,40.260242439182242
9.2443395681863318,39.369988783178691
14.903480340054658,38.555470628308235
9.50302282822836,40.92654102995261
7.5306412436598951,44.656459854996491
7.9082863072682335,44.376514247601413
9.9244140116060713,44.309230424017166
10.238242857320557,43.892718868915878
10.921596766559093,43.725937048896334
10.952502215825939,43.511061508900937
11.199052186399374,43.839972807575286
10.787713347611273,43.703785620932329
11.00979455149627,43.1671824007698
12.031451972500928,43.201716892170538
12.366421680302635,41.755381528497324
12.30234588771987,41.761101111428268
13.003880599181832,41.4396353015258
15.640832133222094,38.084199865280333
14.825544876001945,38.1580966409507
